Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
331,evening,Thursday,STYLE,BECKY,COLOR,JOANNE,2,120.0,Friday,afternoon,0,1,302,5,4,1,3,0,0,0,6
332,afternoon,Wednesday,STYLE,SINEAD,STYLE,BECKY,1,50.0,Thursday,evening,0,0,352,6,5,1,3,0,0,0,6
333,afternoon,Saturday,STYLE,BECKY,STYLE,SINEAD,1,50.0,Wednesday,afternoon,0,0,402,7,6,1,3,0,0,0,3
334,morning,Saturday,COLOR,JOANNE,STYLE,SINEAD,1,50.0,Wednesday,afternoon,0,0,402,7,6,1,3,0,0,0,3
335,evening,Friday,STYLE,JJ,COLOR,JOANNE,2,100.0,Saturday,morning,0,1,502,9,7,2,5,0,0,0,13
336,morning,Friday,STYLE,BECKY,STYLE,JJ,1,52.0,Friday,evening,0,0,554,10,8,2,5,0,0,0,7
337,afternoon,Thursday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,morning,0,0,604,11,9,2,5,0,0,0,6
338,morning,Thursday,COLOR,JOANNE,STYLE,BECKY,1,50.0,Friday,morning,0,0,604,11,9,2,5,0,0,0,6
341,afternoon,Wednesday,STYLE,KELLY,STYLE,JJ,1,202.0,Friday,morning,0,1,946,15,12,3,9,1,0,0,5
342,afternoon,Wednesday,STYLE,JJ,STYLE,KELLY,1,55.0,Wednesday,afternoon,0,0,1001,16,13,3,9,1,0,0,7
343,afternoon,Wednesday,COLOR,JOANNE,STYLE,KELLY,1,55.0,Wednesday,afternoon,0,0,1001,16,13,3,9,1,0,0,7
344,afternoon,Thursday,STYLE,BECKY,COLOR,JOANNE,2,122.0,Wednesday,afternoon,0,1,1123,18,14,4,11,1,0,0,8
345,morning,Thursday,STYLE,JJ,STYLE,BECKY,1,50.0,Thursday,afternoon,0,0,1173,19,15,4,11,1,0,0,7
347,morning,Thursday,STYLE,JJ,STYLE,JJ,1,40.0,Wednesday,morning,0,0,40,1,1,0,0,0,0,0,36
348,morning,Friday,STYLE,JJ,STYLE,JJ,1,60.0,Thursday,morning,0,0,100,2,2,0,0,0,0,0,36
349,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,60.0,Friday,morning,0,0,160,3,3,0,0,0,0,1,40
352,morning,Friday,STYLE,BECKY,STYLE,BECKY,1,30.0,Thursday,evening,0,0,30,1,1,0,0,0,0,0,64
354,morning,Friday,STYLE,BECKY,STYLE,BECKY,1,160.0,Friday,morning,0,1,30,1,1,0,1,0,0,0,56
360,morning,Friday,STYLE,BECKY,STYLE,SINEAD,1,70.0,Thursday,afternoon,0,0,70,1,1,0,0,0,0,0,71
362,morning,Saturday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,afternoon,0,0,82,1,1,0,0,0,0,0,37
363,afternoon,Wednesday,STYLE,JJ,STYLE,JJ,1,102.0,Saturday,morning,0,0,184,2,2,0,0,0,0,0,60
364,afternoon,Wednesday,COLOR,JOANNE,STYLE,JJ,1,102.0,Saturday,morning,0,0,184,2,2,0,0,0,0,0,60
